Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
3/23/21,6111,12,Ventura County,CA,13.4,113508,113507,15.7,113371,17.3,61310,44.8,96.7,226554,26.8,226540,31.3,225634,34.4,99075,72.5,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI
3/23/21,6065,12,Riverside County,CA,11.3,279890,279888,13.5,279661,15.1,155163,42.4,96.7,501060,20.3,501017,24.2,499825,26.9,238619,65.2,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/23/21,6025,12,Imperial County,CA,10.3,18670,18670,12.8,18658,14.4,8019,33.2,96.7,37034,20.4,37031,25.3,36978,28.5,15133,62.7,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/23/21,6113,12,Yolo County,CA,14.3,31582,31582,16.6,31541,18.1,15695,55.1,96.7,61604,27.9,61586,32.3,61306,35.1,22968,80.6,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Mod-High VC/Mod-High SVI
3/23/21,6031,12,Kings County,CA,5.6,8630,8630,6.9,8624,7.7,4230,26.4,96.7,23729,15.5,23727,19,23655,21.2,7524,46.9,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI
3/23/21,6023,12,Humboldt County,CA,15.3,20773,20773,17.5,20754,18.9,10118,40.2,96.7,32734,24.1,32732,27.6,32691,29.7,16215,64.4,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/23/21,6041,12,Marin County,CA,21.6,56016,56013,24.6,55930,27,35344,59.5,96.7,100847,39,100840,44.3,99982,48.2,47187,79.4,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
3/23/21,6081,12,San Mateo County,CA,17.2,131818,131818,19.8,131611,21.5,69902,55.1,96.7,236405,30.8,236382,35.6,235324,38.5,97506,76.9,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
3/23/21,6063,12,Plumas County,CA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low-Mod,,,,
3/23/21,6107,12,Tulare County,CA,9.1,42210,42210,11.3,42174,13,20467,37.7,96.7,92161,19.8,92144,24.7,91670,28.3,31510,58,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/23/21,6035,12,Lassen County,CA,9.9,3040,3040,11.3,3038,12,1582,33.4,96.7,4952,16.2,4952,18.3,4950,19.6,2712,57.2,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
3/23/21,6005,12,Amador County,CA,12.4,4948,4946,13.8,4946,14.7,3567,32.6,96.7,11862,29.8,11860,33.1,11852,35.1,7468,68.2,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
3/23/21,6093,12,Siskiyou County,CA,15.4,6684,6684,17.7,6682,19.2,4071,35.8,96.7,11984,27.5,11983,31.7,11940,34.3,6903,60.7,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
3/23/21,6105,12,Trinity County,CA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
