date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests
10/29/20,Sutter,County,105747,9,1920,0,12,204,33472,12,2117,12,1852,0,12,139
7/22/20,Lake,County,64871,0,195,0,1,120,9089,0,213,3,160,0,1,139
6/19/20,Tuolumne,County,52351,1,13,0,0,96,3551,0,17,0,8,0,0,139
10/25/20,Lake,County,64871,5,718,1,17,33,23740,1,876,-1,695,0,15,139
6/28/20,Yuba,County,79290,8,88,0,1,55,4798,14,93,0,39,0,1,139
3/27/21,Lake,County,64871,1,3342,0,57,69,61395,2,3884,3,3317,0,43,139
9/3/20,Tuolumne,County,52351,0,218,0,2,221,21074,1,290,3,193,0,1,139
9/20/20,Calaveras,County,44289,0,303,0,15,38,10535,0,329,0,256,0,10,139
5/21/20,Shasta,County,177925,0,48,0,4,213,5038,0,82,0,34,0,4,139
7/20/20,San Benito,County,64022,16,573,0,3,211,9889,18,646,21,433,0,2,139
3/8/21,Tuolumne,County,52351,1,3927,0,53,397,82074,5,4504,-1,3921,0,56,139
11/15/20,San Benito,County,64022,15,1670,0,13,226,29562,15,1914,16,1589,0,15,139
